Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
275.00	0.10132	999.94	0.0010001	7.7600	7.8613	0.028313	4.2128	4.2135	1411.5	-0.23964	1681.9	0.56029	liquid
285.00	0.10132	999.52	0.0010005	49.776	49.877	0.17839	4.1848	4.1924	1454.4	-0.23102	1239.2	0.58259	liquid
295.00	0.10132	997.81	0.0010022	91.645	91.747	0.32278	4.1498	4.1829	1487.9	-0.22362	957.81	0.60124	liquid
305.00	0.10132	995.08	0.0010049	133.45	133.55	0.46215	4.1094	4.1795	1513.3	-0.21702	766.79	0.61716	liquid
315.00	0.10132	991.50	0.0010086	175.25	175.35	0.59698	4.0649	4.1796	1531.9	-0.21094	630.66	0.63087	liquid
325.00	0.10132	987.19	0.0010130	217.05	217.15	0.72764	4.0171	4.1819	1544.5	-0.20520	529.97	0.64267	liquid
335.00	0.10132	982.23	0.0010181	258.89	258.99	0.85443	3.9671	4.1858	1552.0	-0.19965	453.30	0.65274	liquid
345.00	0.10132	976.70	0.0010239	300.77	300.88	0.97762	3.9155	4.1912	1555.0	-0.19416	393.53	0.66121	liquid
355.00	0.10132	970.63	0.0010303	342.72	342.82	1.0975	3.8631	4.1982	1554.0	-0.18863	346.03	0.66817	liquid
365.00	0.10132	964.06	0.0010373	384.74	384.84	1.2142	3.8107	4.2070	1549.3	-0.18297	307.65	0.67371	liquid
373.12	0.10132	958.37	0.0010434	418.95	419.06	1.3069	3.7683	4.2156	1543.2	-0.17821	281.66	0.67720	liquid
373.12	0.10133	0.59766	1.6732	2506.0	2675.5	7.3544	1.5558	2.0799	472.18	66.729	12.231	0.024568	vapor
375.00	0.10132	0.59442	1.6823	2509.0	2679.4	7.3648	1.5499	2.0716	473.52	64.885	12.304	0.024723	vapor
385.00	0.10132	0.57787	1.7305	2524.6	2700.0	7.4189	1.5277	2.0388	480.41	56.634	12.691	0.025558	vapor
395.00	0.10132	0.56236	1.7782	2540.1	2720.2	7.4709	1.5141	2.0174	487.03	50.095	13.081	0.026403	vapor
405.00	0.10132	0.54775	1.8257	2555.3	2740.3	7.5211	1.5052	2.0024	493.45	44.672	13.473	0.027260	vapor
